Session_Connection_Time,Bytes Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed
18,374.74,1,4.92,7,Denmark,69.45
16,725.51,0,2.07,8,Kenya,70.57
12,75.53,0,3.73,8,Wallis and Futuna,69.77
21,202.83,1,2.6,8,Bhutan,67.95
34,392.47,0,2.31,8,Reunion,72.16
23,499.24,1,3.76,8,Cook Islands,72.45
21,701.52,0,2.95,8,Saint Lucia,68.92
11,125.69,1,2.33,7,Ukraine,69.3
13,218.71,0,3.2,7,Niue,67.31
22,623.58,1,3.53,7,Morocco,70.59
12,393.84,1,2.57,7,Cook Islands,72.17
19,449.53,1,4.93,7,Lao People's Democratic Republic,69.79
17,602.46,1,4.87,9,Sudan,70.26
17,272.34,0,3.83,9,Norway,70.07
18,181.78,0,2.76,9,Cambodia,72.51
21,434.82,1,2.43,8,Thailand,72.04
46,479.77,1,7.58,14,Liechtenstein,45.91
35,871.76,1,7.38,15,Mauritania,45.08
42,797.74,0,7.58,14,Russian Federation,46.24
36,793.45,0,7.18,13,Macedonia,45.9
41,832.71,1,9.22,14,Belize,42.43
41,766.67,0,6.73,14,Svalbard & Jan Mayen Islands,44.71
47,592.93,1,6.65,13,United States Virgin Islands,47.15
37,841.34,0,5.9,13,Isle of Man,45.57
38,984.63,1,6.88,14,Zimbabwe,43.34
27,874.26,0,7.05,14,Anguilla,45.72
51,1051.27,0,8.12,15,Netherlands Antilles,46.47
30,460.6,0,7.15,14,French Southern Territories,45.57
37,779.05,1,7.46,13,Hong Kong,43.64
42,869.04,0,6.45,15,Saint Helena,41.27
49,905.5,1,8.3,13,Iran,43.33
48,718.61,1,6.36,13,Tuvalu,41.85
39,1021.2,0,9.09,14,Montserrat,43.85
50,855.74,1,7.39,14,Costa Rica,43.72
45,1057.61,0,7.54,14,Malawi,44.28
46,765.98,1,8.5,14,Micronesia,43.58
35,717.42,0,5.08,14,Brunei Darussalam,46.92
40,774.59,0,6.94,14,Tunisia,43.36
31,905.1,0,6.27,15,Libyan Arab Jamahiriya,45.33
48,957.19,1,6.95,13,Guyana,43.43
32,563.64,0,7.13,13,Cameroon,45.99
39,852.69,1,7.9,14,Trinidad and Tobago,45.7
53,992.47,1,7.88,14,Nicaragua,43.3
29,1273.04,0,6.67,14,Slovakia (Slovak Republic),44.36
42,921.8,0,7.72,13,Ethiopia,46.14
51,904.86,1,8.35,14,Bulgaria,43.25
37,634.7,1,7.4,14,Ecuador,44.25
36,831.48,1,6.49,14,Trinidad and Tobago,44.67
38,574.09,1,8.1,14,Mauritania,43.34
30,797.62,0,7.55,13,India,42.08
28,716.01,1,8.86,14,Estonia,44.46
39,485.16,0,7.84,14,Grenada,42.35
51,737.22,1,7.74,14,Armenia,45.02
46,925.89,1,8.51,14,Antigua and Barbuda,44.34
60,836.68,1,7.45,13,Comoros,41.41
48,844.2,1,8.08,14,Lithuania,45.93
42,805.38,0,6.72,13,Congo,40.57
52,669.21,1,7.35,13,Bangladesh,46.26
33,1019.94,0,6.46,14,Isle of Man,45.45
51,1243.86,0,6.26,14,Antigua and Barbuda,44.78
45,846.68,0,9.98,15,French Southern Territories,42.24
36,1056.69,1,6.11,14,United States Minor Outlying Islands,42.48
48,934.01,1,7.97,14,United States Minor Outlying Islands,44.58
52,660.79,1,8.08,13,Venezuela,44.67
36,555.32,0,6.59,14,Grenada,44.3
47,664.28,1,5.92,14,Switzerland,42.75
37,828.68,0,6.63,14,Saint Martin,42.27
37,855.17,1,8.68,14,Indonesia,45
46,640.06,0,6.89,14,Cocos (Keeling) Islands,44.48
39,596.69,0,8.73,14,Gabon,42.1
48,776.02,1,8.63,14,Palestinian Territory,44.58
36,821.21,0,6.35,14,Saint Pierre and Miquelon,48.6
35,828.09,1,7.14,15,Martinique,45.25
40,874.47,0,7.83,14,Russian Federation,45.02
55,686.47,1,7.5,13,Syrian Arab Republic,43.12
49,1019.63,0,7.65,13,Jordan,44.36
45,805.67,1,6.71,15,Madagascar,40.74
42,972.14,1,7.04,14,Northern Mariana Islands,44.24
44,1045.32,0,7.03,14,Guinea-Bissau,44.22
43,780.66,0,7.16,14,Burkina Faso,44.06
46,783.48,1,7.82,14,British Virgin Islands,43.09
36,594.29,0,7.14,15,Falkland Islands (Malvinas),43.2
38,959.81,1,7.84,13,China,41.54
40,413.92,1,6.93,15,Netherlands,40.76
48,1040.38,0,7.17,15,Reunion,42.33
47,814.26,1,7.16,13,Philippines,42.76
28,887.3,0,7.49,12,Northern Mariana Islands,43.35
49,1081.16,0,5.73,14,Burkina Faso,45.49
39,861.74,1,6.82,14,United Kingdom,41.61
42,717.05,1,7.6,13,Korea,44.96
43,952.19,1,7.06,13,Sudan,44.15
37,581.9,0,6.44,14,Guinea-Bissau,44.28
40,930.52,0,8.47,13,Uzbekistan,42.65
35,669.51,0,7.12,14,Kiribati,45.94
31,844.64,1,7.48,14,Timor-Leste,41.86
43,859.48,1,7.02,14,Costa Rica,46
41,752.95,0,9.37,14,Heard Island and McDonald Islands,46.52
49,965.09,0,8.19,13,Saint Kitts and Nevis,47.08
49,704.64,0,7.96,14,Benin,45.34
44,948.6,1,7.89,14,United Arab Emirates,44.01
45,1077.69,1,8.33,13,Norway,44.83
43,881.46,0,7.64,14,Czech Republic,43.79
38,916.41,1,8.13,13,Malaysia,43.81
33,589.62,1,7.52,13,Saint Helena,44.11
41,808.67,1,7.41,14,Georgia,45.21
46,757.14,1,6.09,14,Oman,40.77
57,898.29,1,5.95,14,Netherlands,41.15
46,921.99,0,9.74,14,Singapore,40
52,957.47,1,6.37,14,Taiwan,41.04
50,535.88,0,7.16,14,Grenada,42.39
35,1018.53,1,7.75,14,Cyprus,45.79
40,842.59,1,6.41,14,Bahamas,43.32
34,878.07,0,7.65,15,Cook Islands,42.87
44,946.83,0,8.27,13,Egypt,44.39
45,1081.75,1,5.66,13,Macao,44.69
52,970.78,1,6.97,13,Cape Verde,42.84
31,823.61,0,7.35,14,Sri Lanka,47
47,853.6,0,7.4,15,British Indian Ocean Territory (Chagos Archipelago),47.16
55,595.19,0,8.04,14,Western Sahara,45.14
40,816.29,1,8.71,13,Syrian Arab Republic,44.36
40,1024.68,1,8.29,15,Czech Republic,46.24
45,921.05,0,5.82,13,Togo,43.01
42,500.49,0,8.21,12,Sweden,43.7
42,978.74,1,8.43,14,French Polynesia,45.45
45,756.64,0,8.12,13,Iraq,42.95
50,1105.8,1,6.69,14,Moldova,45.61
52,749.56,1,7.2,14,Dominican Republic,44.04
31,962.5,1,6.54,14,Czech Republic,44.5
41,871.18,1,6.89,14,Christmas Island,45.88
55,804.37,1,10,13,Cuba,43.74
33,916.74,1,6.96,14,Pitcairn Islands,42.5
38,546.22,1,7.72,14,Ukraine,40.58
45,952.8,1,7.4,14,Switzerland,46.02
42,603,0,6.51,13,Greece,42.04
33,709.34,1,7.42,14,Burundi,42.49
38,407.63,0,7.68,14,Palau,48.11
40,920.82,1,8.52,14,Macao,47.97
43,712.2,1,7.5,13,Papua New Guinea,41.72
56,1190.87,0,5.77,14,Reunion,45.16
47,897.11,0,8.33,15,Rwanda,45.4
32,799.24,1,7.19,14,Svalbard & Jan Mayen Islands,44.41
43,663.74,1,7.45,13,Liechtenstein,46.76
38,840.81,0,6.35,13,Niger,44.32
55,970.68,0,7.93,15,Haiti,43.68
27,844.01,0,7.73,13,Tuvalu,45.89
47,540.31,0,7.78,13,Colombia,43.95
46,1046.05,0,6.86,15,Azerbaijan,42.75
44,675.72,0,7.8,14,Latvia,43.04
43,837.58,0,6.29,14,Saint Barthelemy,44.69
49,1330.5,1,7.96,13,Andorra,42.56
40,993.62,0,7.03,14,Australia,43.46
49,847.11,0,9.03,13,Antarctica (the territory South of 60 deg S),42.11
48,1114.98,1,6.74,14,Trinidad and Tobago,43.92
52,800.64,0,6.1,14,United States Virgin Islands,43.45
39,866.95,0,6.82,14,Paraguay,44.12
33,1129.19,1,6.77,14,Mauritania,44.34
37,832.2,1,7.75,15,Libyan Arab Jamahiriya,42.24
52,942.14,1,6.95,14,Myanmar,45.78
37,1053.76,1,7.34,14,Indonesia,41.59
48,870.01,1,7.61,14,Antigua and Barbuda,44.98
35,699.3,1,7.51,14,Saint Kitts and Nevis,45.4
44,881.73,1,7.05,15,Reunion,43.8
51,723.94,1,6.34,13,Paraguay,44.27
41,760.15,0,7.63,14,Equatorial Guinea,41.8
44,957.05,1,6.38,13,United Arab Emirates,42.17
41,944.84,1,7.79,14,Belgium,41.73
33,834.11,0,5.79,14,Jamaica,44.96
41,706.51,0,7.61,14,French Southern Territories,44.58
44,749.63,0,7.26,14,Germany,42.6
42,1056.32,0,7.98,14,Nauru,43.92
45,584.73,1,6.56,15,Ukraine,41.72
39,830.06,0,7.5,14,Guernsey,42.7
44,794.9,1,6.27,14,Zimbabwe,43.39
52,951.14,0,8.66,14,Bulgaria,47.74
43,1039.8,1,7.08,13,Iraq,44.98
39,833.94,0,7.52,14,Svalbard & Jan Mayen Islands,46.68
50,842.78,0,6.62,15,United States Virgin Islands,44.69
37,746.81,0,7.93,14,Guinea-Bissau,43.12
39,761.91,1,6.99,14,Belarus,43.23
43,983.48,0,8.6,13,British Indian Ocean Territory (Chagos Archipelago),43.21
39,690.22,1,6.8,13,Guinea-Bissau,42.75
36,1060.69,1,6.26,14,Canada,43.86
42,729.47,0,7.95,14,Tuvalu,45.27
